manufacture,ASIN,description
Trajectory 15.6,B09RK6NCGC,Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men 
Sfane Polyester,B07GCR84D9,"9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag "
Asus BP1504,B0895ZZHKK,39.62 cm (15.6-inch) Laptop Backpack (Dark Grey) 
Dell Laptop,B0B6PF1L69,bag 
POLESTAR Ranker,B08421BRQ2,"15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty "
Veneer Medium,B09BMG8R6Y,"20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag "
Half Moon,B0C1NZLF67,Valex Unisex School Bag/Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment 
uppercase Apex,B0BWNBQXDZ,"Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty "
Half Moon,B0C23Z9W18,Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets 
Half Moon,B0C23BYDML,Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets 
ADISA 32L,B0BPVCBFM7,Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green) 
HARISSONS Bags,B07M5P5LW3,"Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder "
MosQuick® Clear,B09SB42QFQ,"large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent "
Martucci Large,B0B7DT6HY3,35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip 
EUME Virgo,B08R563J3T,"3 Compartment Office and College Bags, Polyester Casual Daypacks, Laptop Backpacks "
Skybags 22,B0B21Z3DBD,ltrs (16 Cms) backpack(BPFLE22EBTH_Blith) 
18 L,B09ZL3SCTQ,Multicolour Printed Drawstring Polyester Multi Utility Bag for Sports/Gym/Yoga/College/Casual Backpack – Light Weight/Washable 
Aristocrat Unisex,B09ZV86P4S,Black Oxford Fabric 28.82L Laptop Bags 
Gear Parker,B097KCMQKG,23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black 
Nivia Pulse,B08D7QKCX5,Junior Bag (Orange) 
House of,B07QV7SH4S,Quirk Baby Diaper Bag Maternity Backpack (Blue Elephant Printed) 
MOKOBARA The,B0C9J8JJ6C,"Work Backpack - II Black Nylon Water Resistant (16"") Laptop | Work | Travel Bag for Men and Women "
LOOKMUSTER Casual,B0BS6YGKMC,Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack… 
F Gear,B08QM71P12,Enzo Sports Waist Bag (Enzo Spruce Yellow) 
NIVIA Beast,B07NJGW3WX,Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Navy Blue) 
Tabelito® DELTA,B0BLK1Z7DQ,"Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty) "
Chic Buddy,B09KSBHC18,"Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries "
uppercase SealPro,B0BR1C59R8,"Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty "
Puma Laptop,B07D5QZ76G,"Backpack (7548709, Limoges, 22 Ltrs) "
DZert Clasy,B07GXYHFCY,Laptop Bag College Bag for Boys Girls 21 L Blue White 
Red Lemon,B09RK4BRPM,"Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls "
Genie Fringe,B097JJ64SH,"Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres "
Half Moon,B09QM9N1B3,30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls 
AUXTER Faux,B07F2H25NP,Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black) 
Fast Travel,B09VCQWRC4,"45 Ltrs, 46 cms School Bag Class 5-12 Large 4 partition Laptop Collage Office Travel Backpack Unisex "
Chic Buddy,B0B25B5PB6,"Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries "
Wooum Sling,B0993Q72WD,Cross Body Bag/One Side Bag/Shoulder Bag/Office Business Messenger Bag/Money Bag for Men and Women - Water Resisitance 
Lavie Sport,B09YCSCRBW,Chairman Backpack with Laptop Sleeve | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook 
Pramadda Pure,B0C6NNPZTC,Luxury Milan Casual Vegan Leather 15.6 inch Laptop Backpack for Men and Women | Stylish School College Office Travel Bagpacks | Trendy Office Laptop Bag For Men. (Classic Black) 
Arctic Hunter,B09HV9QYFB,"Mens Sling Bag,Mens Shoulder Bag,Crossbody Bag for Men,Chest Bag,Daypack,Shockproof Compartment for iPad,Suitable for College,Outdoor Travels and Business Daily Use For Men, Black "
Skybags Unisex,B0B21XM4KX,Gucci Fabric Backpacks 
PUMA 26,B07JHJCZSM,Ltrs Puma Black Laptop Backpack 
ADISA SL5038,B08Q4FHQLN,women girls sling bag 
Lavie Sport,B07VJSDYJY,Polar X Cabin Size 63 cms Wheel Duffel Bag for Travel | Travel Bag with Trolley 
Arctic Hunter,B0B6FNPN76,Backpack for Men Premium Business Backpack Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Comfortable and Padded Backpack for Men 
Casual Waterproof,B08XWBCVZT,"Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Free Rain Cover (18 Inch, 34litr) (Black) "
JAVILANT 35L,B0C9J7CV3P,Waterproof Rain & Dust Cover for Backpack with Pouch | Rain Cover for Laptop/School/College & Office Bag Black Color with Orange Print 
Lunar's Heritage,B08CBJDBH4,37L Casual Water Resistant 3 Compartment Travel Bagpack/College Backpack/School Bag (Black) 
Tabelito® NEXA,B0C2D4T9R5,"3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY) "
ADISA 15.6,B09TPY1G1W,inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black) 
Gear Polyester,B098FG3GVX,23 Cms Travel Bag(DUFCRSTNG4314_Khaki) 
Wildcraft 44,B012D4QKHW,cms Polyester Black Laptop Bag (8903338054290) 
HAMMONDS FLYCATCHER,B07P2TQH78,"Genuine Leather Laptop Bag for Men - Office Bag, Brown Color - Fits Up to 14/15.6/16 Inch Laptop/MacBook - Laptop Messenger Bags/Leather Bag for Men with Adjustable Shoulder Strap "
F Gear,B078J63VRY,"Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag "
ZOUK Black,B07NHYLTY7,Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with double handles - FloMotif 
18 L,B0B4G9XT67,Attractive long lasting Printed Drawstring Polyester Multi Utility Bag for Sports/Gym/College/Yoga/Casual Backpack – Light Weight (Washable/Durability) 
AirCase Laptop,B07QL8633G,"Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather "
NORTH ZONE,B0BL3SDSGZ,Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office 
OMRON BAGS,B0BLJZGTMZ,Large 40 L Laptop Backpack For Men and Women 
Gear Solid,B019HA8JJW,22 Cms Cosmetic Pouch (Black) 
TUFFGEAR Polyester,B08R7HYFM1,Gym Bag Workout 23 Litre Gym Duffle Bag Yellow 
HYDER 35L,B0BR3KK8TR,"Latest And Trendy Stylish Waterproof College/Casual/School Bag/Backpack For Kids, Boys, Girls, Men And Women | Best Bags For Everyday Use "
30 L,B0BW9BTJCZ,Waterproof Laptop/College/School/Office Bag Backpack for Men Women Boys Girls with Rain Cover (Navy_Blue) 
LuvLap Lily,B07W6Z8XKB,Travel Multifunctional Waterproof Diaper Bag-Backpack Cum Tote Bag (Black) 
Storite Small,B09KNMWWPH,"Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey) "
Impulse Impbee,B0C1CSS81H,45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with Rain Cover & 1 Year Warranty 
Bennett Casual,B09WZHX3B1,"Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (Black) "
Safari Seek,B07BZ5VC4H,45 Ltrs Overnighter Expandable Travel Laptop Backpack 
FUR JADEN,B09VTC876Z,"Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls "
Murano Louis,B0BX9FLPNX,10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Orange) 
DZert Clasy,B07GXX2BP3,Laptop Bag College Bag for Boys Girls 21 L Red Black 
ADISA Large,B0BXQZ6Q85,Laptop Backpack Office Bag College Travel Back Pack with USB (Black) 
MI Business,B07YY6PTMN,Casual 21L Water Resistant Laptop Backpack 
Lavie Women's,B0B3J9J9CK,Ushawu Satchel Bag | Ladies Purse Handbag 
Gear ECO1,B012NW0J30,24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow 
Skybags Kick,B0BJ763F7Y,Unisex Adjustable Strap Polyester Laptop Backpack 
Gear polyester,B00Z93WSVW,44 cms Duffle Bag(DUFPRO2000106_Black) 
Half Moon,B0BR149RMT,35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue) 
Shopiable Store,B0B5VMZVXZ,Folding Storage Luggage Bag Travelling Shoulder Hand Bags Lightweight Waterproof Duffle Bag for Women (Pink) 
Skybags Unisex,B09ZV9SLBJ,Grey Jacqard 34L Laptop Bags 
Mi Step,B088X9M73T,"Out 12 L Mini Backpack (Small Size, Sky Blue, Water Repellant) "
Wildcraft Turnaround,B012D51GXO,Polyester 35 Ltrs Blue Laptop Bag (8903338054702) 
Fast Travel,B09XLKF4W4,School Bag Class 5-7 Large 3 partition 35 L Laptop Collage Office Travel Backpack Unisex (Red White) 
Lenovo Everyday,B07GM5NR14,Laptop Backpack B515 15.6-inch Water Repellent Black 
COSMUS Darwin,B01FVQLLU0,Navy Blue Laptop Backpack for (15.6 inch) 
F Gear,B071XJ6XV5,Tycoon 27 Liters Laptop Backpack Sch Bag(Black) 
Arctic Hunter,B0B6FNB898,Laptop Bag Expandable Backpack for 16 inch Lapotp 40L Travel Backpack Water-resistant Business School Backpack with USB Port for Men and Women 
high power,B0BKL76TV3,Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 30 LTR 
American Tourister,B07N19CXKM,Ohio Polyester 65 Cms Wheel Travel Duffle Bag (Blue) 
ADISA 32L,B0BVRJYD9Q,Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy) 
SACCI MUCCI,B09TDNZ88Z,"Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable "
Bennett Casual,B09WZKHSDR,"Laptop Bag School Bags for Boys Girls 15.6-inch, 25 LTR Office & College bags for Mens Water Repellent Backpack for Men & Women (GREY) "
Lavie Women's,B08J8M2B42,Betula Tote Bag | Ladies Purse Handbag 
ROZEN Stylish,B07R1S92QS,roz401-Sky Blue Laptop Backpack for School Collage Office Travelling Waterproof School Bag (Sky Blue 40 LTR) 
ADISA Women's,B0B2WBJ2H8,Girls Party Sling Bag Crossbody 
uppercase Laptop,B0BQYJ8WP5,"Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls, 750 Days warranty (Blue) "
Gear Classic,B07G4D13LB,20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black 
POLESTAR Leader,B08X2KRL8B,"34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty "
American Tourister,B0BLCXMTZ7,SPIN LAPTOP BACKPACK 28L POLYESTER BLACK 
Aristocrat Unisex,B09ZV6SBFS,Black Premium Polyester Fabric 28L Backpacks 
F Gear,B016115VXW,Burner P8 19 Ltrs White Casual Laptop Backpack 
Red Lemon,B082Y7TZ8Z,"Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack "
AmazonBasics Laptop,B09W49FSX1,"Backpack - 24L, Water Repellent and Wear Resistant, Dark Grey "
FUR JADEN,B07FM9BSKW,15.6 Anti Theft Laptop Backpack with USB Charging Port Unisex Bag for College Office Suitable for Men Women 
Kuber Industries,B083J6774T,Rexine Jumbo Attachi Travel Blanket Cover|Travel Duffle|Storage Carrying Bag|Travel Multi-Purpose Bag|Size 58 x 48 x 34 CM (Grey) CTKTC034726 
Wildcraft 29.5,B079DV66TY,Ltrs Green Casual Backpack (11650-Green) 
GoTrippin Waist,B088LHS5LP,"Bags for Men Women- Premium Stitching, Branded Zippers, Waterproof pocket, RFID safe- Large Fanny pack for Hiking Travel Camping Running Sports Outdoors, Money Belt with Adjustable Strap (Polyester,Black) "
POLESTAR Noble,B07PQQ8M7B,"32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty "
Glowic Canvas,B09YRWZBW8,"Grocery, Travel, Beach | Shoulder Handbags Women, College Bags for Girls Stylish Trendy(WBAG-50) "
Amazon Basics,B09W4WJ1CB,20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric 
FUR JADEN,B094DGXXR5,"Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook "
COSMUS Vogue,B09HX54TGF,Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag 
Aurion Vista,B09139DYF1,"Polyester Sports Gym Duffle Bag with Wet Pocket and Shoe Compartment - 1Pc (Blue, 24 Cms) | Lightweight Duffle Bags | Travel Duffel Backpack for Men and Women | Camping | Swimming | Yoga "
Half Moon,B09842K4RQ,"35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips "
Aristrocrat Unisex,B0B5YHC1W5,Laptop Bag Grey One Size 
satellite backpacks,B083DZVFZM,for men women backpack bags school bag boys under 35 ltr litres casual bagpack black 
ASIAN Sling,B09SXRZ7FW,Bag for Women - Handmade Bags for Females - Jute and Indian Fabric Slings - Side Bags for Mobile Phones and Wallets (Black) 
RAPTORS 35L,B0C4Q4WN6V,Water Resistant 15.6 inch Laptop Backpack bag for men and women Office/School/Travel/Business Padded with Laptop Compartment 
POLICE Polyester,B07ZB8NWTZ,35 Ltr Laptop Big Low Spec Laptop Backpack - Black/Navy 
K London,B07ZFT873B,Stylish Real Leather Black Waist Bag Elegant Style Travel Pouch Passport Holder with Adjustable Strap(246_Black) 
Skybags Unisex,B07F342RQD,"Polyester Solid Pattern Hustle Df 55 (Orange, Small) "
Gear Eco4,B019HA8DQQ,18L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue 
uppercase Medium,B0B69M182Q,"17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty "
GOCART WITH,B0822H451W,G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag 
AUXTER Premium,B08XWBDGMB,Sports Gym Duflle Bag with Shoe Compartment for Men and Women 
30 L,B0BW9GWPYH,Waterproof Laptop/College/School/Office Bag Backpack for Men Women Boys Girls with Rain Cover (Navy_Blue) 
TRAVALATE Laptop,B0BLK8CF12,"Backpack with USB Charging Port for Travel, Office, Collage, Business Bag, Gift for Men and Women "
Wolpin Travel,B0BTTH69S9,Bags for Luggage Spacious with Pockets Foldable Weekender Zipper Duffle Bag for Travel Stylish Handbag Conveniently Carry on Trolley Bag Waterproof (44 x 18 x 35 cm) 
Gear LOGI-Q,B0BTJ2VV17,27L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Black-White) 
American Tourister,B00FRCNTUO,X-Bag Nylon 65 Cms Travel Duffle Bag (Black) 
AmazonBasics Nylon,B01GGNW5AM,43 Cms Travel Duffle Bag (Red) 
Kuber Industries,B083J6HVMB,Faux Leather 20 Cms Duffle Bag(CTKTC34727_Grey) 
Gear Workspace,B097KGL2M5,18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black 
PUMA 0,B07VN74LRB,Ltrs PUMA Black-Camo AOP School Backpack (7735101) 
